2019-04-29 16:58:21:682   系统启动。。。
2019-04-29 16:58:45:294   系统关闭。。。
2019-04-29 16:58:45:359   ListeningThread:一个封锁操作被对 WSACancelBlockingCall 的调用中断。
2019-04-29 16:58:45:596   ListeningThread:无法访问已释放的对象。
对象名:“System.Net.Sockets.Socket”。
2019-04-29 17:05:42:455   系统启动。。。
2019-04-29 17:06:01:072   系统关闭。。。
2019-04-29 17:06:01:080   ListeningThread:一个封锁操作被对 WSACancelBlockingCall 的调用中断。
2019-04-29 17:07:09:209   系统启动。。。
2019-04-29 17:08:13:766   系统关闭。。。
2019-04-29 17:08:13:911   ListeningThread:一个封锁操作被对 WSACancelBlockingCall 的调用中断。
2019-04-29 17:09:19:377   系统启动。。。
2019-04-29 17:09:24:206   系统关闭。。。
2019-04-29 17:09:24:267   ListeningThread:一个封锁操作被对 WSACancelBlockingCall 的调用中断。
2019-04-29 17:14:26:936   系统启动。。。
2019-04-29 17:14:45:186   系统关闭。。。
2019-04-29 17:14:45:199   ListeningThread:一个封锁操作被对 WSACancelBlockingCall 的调用中断。
