2019-10-14 15:47:08:210   系统启动。。。
2019-10-14 15:47:08:915   设备：192.168.1.37:12345连接！
2019-10-14 15:47:09:192   设备：192.168.1.50:12345连接！
2019-10-14 15:47:09:227   创建设备：192.168.1.37:12345接收线程！
2019-10-14 15:47:09:270   192.168.1.37:12345接收数据：+NAME:????????????8

2019-10-14 15:47:09:304   设备：192.168.1.26:12345连接！
2019-10-14 15:47:09:335   创建设备：192.168.1.50:12345接收线程！
2019-10-14 15:47:09:353   192.168.1.50:12345接收数据：+NAME:????????????6

2019-10-14 15:47:09:371   创建设备：192.168.1.26:12345接收线程！
2019-10-14 15:47:09:383   192.168.1.26:12345接收数据：+NAME:????????????7

2019-10-14 15:47:09:406   设备：192.168.1.56:12345连接！
2019-10-14 15:47:09:420   设备：192.168.1.59:12345连接！
2019-10-14 15:47:09:461   创建设备：192.168.1.56:12345接收线程！
2019-10-14 15:47:09:472   设备：192.168.1.52:12345连接！
2019-10-14 15:47:09:497   创建设备：192.168.1.59:12345接收线程！
2019-10-14 15:47:09:613   192.168.1.59:12345接收数据：+NAME:????????????15

2019-10-14 15:47:09:638   192.168.1.59:12345接收数据：+NAME:????????????15

2019-10-14 15:47:09:655   192.168.1.56:12345接收数据：+NAME:????????????12

2019-10-14 15:47:09:666   192.168.1.56:12345接收数据：+NAME:????????????12

2019-10-14 15:47:09:681   创建设备：192.168.1.52:12345接收线程！
2019-10-14 15:47:09:690   设备：192.168.1.103:12345连接！
2019-10-14 15:47:09:752   192.168.1.52:12345接收数据：+NAME:????????????8

2019-10-14 15:47:09:795   192.168.1.52:12345接收数据：+NAME:????????????8

2019-10-14 15:47:09:807   创建设备：192.168.1.103:12345接收线程！
2019-10-14 15:47:09:826   192.168.1.103:12345接收数据：+NAME:7-36V C1 ????

2019-10-14 15:47:09:835   设备：192.168.1.20:12345连接！
2019-10-14 15:47:09:867   设备：192.168.1.42:12345连接！
2019-10-14 15:47:09:896   创建设备：192.168.1.20:12345接收线程！
2019-10-14 15:47:09:906   192.168.1.20:12345接收数据：+NAME:????????????1

2019-10-14 15:47:09:913   设备：192.168.1.51:12345连接！
2019-10-14 15:47:09:925   创建设备：192.168.1.42:12345接收线程！
2019-10-14 15:47:09:955   创建设备：192.168.1.51:12345接收线程！
2019-10-14 15:47:09:981   192.168.1.42:12345接收数据：+NAME:????????????13

2019-10-14 15:47:10:013   设备：192.168.1.45:12345连接！
2019-10-14 15:47:10:023   192.168.1.51:12345接收数据：+NAME:????????????7

2019-10-14 15:47:10:031   设备：192.168.1.24:12345连接！
2019-10-14 15:47:10:041   创建设备：192.168.1.45:12345接收线程！
2019-10-14 15:47:10:060   创建设备：192.168.1.24:12345接收线程！
2019-10-14 15:47:10:088   192.168.1.24:12345接收数据：+NAME:????????????5

2019-10-14 15:47:10:105   设备：192.168.1.106:12345连接！
2019-10-14 15:47:10:126   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:10:168   设备：192.168.1.29:12345连接！
2019-10-14 15:47:10:185   创建设备：192.168.1.106:12345接收线程！
2019-10-14 15:47:10:213   192.168.1.106:12345接收数据：+NAME:C2  ZS WK TEST

2019-10-14 15:47:10:223   192.168.1.106:12345接收数据：+NAME:C2  ZS WK TEST

2019-10-14 15:47:10:230   创建设备：192.168.1.29:12345接收线程！
2019-10-14 15:47:10:238   设备：192.168.1.44:12345连接！
2019-10-14 15:47:10:269   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:10:321   创建设备：192.168.1.44:12345接收线程！
2019-10-14 15:47:10:356   设备：192.168.1.49:12345连接！
2019-10-14 15:47:10:384   192.168.1.29:12345接收数据：+NAME:????????????10

2019-10-14 15:47:10:394   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:10:435   192.168.1.44:12345接收数据：+NAME:????????????15

2019-10-14 15:47:10:449   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:10:466   创建设备：192.168.1.49:12345接收线程！
2019-10-14 15:47:10:497   设备：192.168.1.31:12345连接！
2019-10-14 15:47:10:524   192.168.1.49:12345接收数据：+NAME:????????????5

2019-10-14 15:47:10:553   创建设备：192.168.1.31:12345接收线程！
2019-10-14 15:47:10:560   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:10:593   192.168.1.31:12345接收数据：+NAME:????????????2

2019-10-14 15:47:10:644   设备：192.168.1.57:12345连接！
2019-10-14 15:47:10:656   设备：192.168.1.34:12345连接！
2019-10-14 15:47:10:690   创建设备：192.168.1.57:12345接收线程！
2019-10-14 15:47:10:730   创建设备：192.168.1.34:12345接收线程！
2019-10-14 15:47:10:747   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:10:778   192.168.1.34:12345接收数据：+NAME:????????????5

2019-10-14 15:47:10:789   设备：192.168.1.48:12345连接！
2019-10-14 15:47:10:803   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:10:831   192.168.1.57:12345接收数据：+NAME:????????????13

2019-10-14 15:47:10:862   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:10:879   创建设备：192.168.1.48:12345接收线程！
2019-10-14 15:47:10:894   设备：192.168.1.39:12345连接！
2019-10-14 15:47:10:912   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:10:998   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:014   创建设备：192.168.1.39:12345接收线程！
2019-10-14 15:47:11:026   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:058   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:109   192.168.1.39:12345接收数据：+NAME:????????????10

2019-10-14 15:47:11:128   设备：192.168.1.53:12345连接！
2019-10-14 15:47:11:144   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:162   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-10-14 15:47:11:178   设备：192.168.1.41:12345连接！
