2019-07-03 11:51:49:593   系统启动。。。
2019-07-03 11:51:49:833   设备：192.168.1.199:12345连接！
2019-07-03 11:51:50:080   创建设备：192.168.1.199:12345接收线程！
2019-07-03 11:51:50:155   192.168.1.199:12345接收数据：+NAME:NR TCP-KP-I1O1

2019-07-03 11:51:51:526   当前设备为：192.168.1.199:12345！
2019-07-03 11:51:51:532   当前设备为：192.168.1.199:12345！
2019-07-03 11:51:51:537   创建设备：192.168.1.199:12345发送线程！
2019-07-03 11:51:51:545   创建设备：192.168.1.199:12345发送线程！
2019-07-03 11:51:52:502   192.168.1.199:12345接收数据：OK

2019-07-03 11:51:52:545   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:52:554   192.168.1.199:12345接收数据：+STACH1:1,100000

2019-07-03 11:51:52:746   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:52:756   192.168.1.199:12345接收数据：+STACH1:1,100000

2019-07-03 11:51:52:934   192.168.1.199:12345接收数据：OK

2019-07-03 11:51:52:946   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:52:955   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:53:147   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:53:156   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:53:347   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:53:356   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:53:548   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:53:557   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:53:748   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:53:757   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:53:949   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:53:958   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:54:149   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:54:158   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:54:350   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:54:359   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:54:551   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:54:560   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:54:751   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:54:760   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:54:952   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:54:962   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:55:153   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:55:162   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:55:353   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:55:362   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:55:554   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:55:563   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:55:754   192.168.1.199:12345接收数据：+OCCH1:0

2019-07-03 11:51:55:763   192.168.1.199:12345接收数据：+STACH1:0,100000

2019-07-03 11:51:58:126   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:133   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:140   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:147   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:152   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:159   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:164   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:170   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:182   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:189   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:195   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:200   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:207   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:213   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:226   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:234   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:243   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:249   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:257   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:267   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:274   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:280   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:287   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:293   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:302   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:309   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:316   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:325   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:332   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:338   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:344   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:352   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:358   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:366   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:372   设备：192.168.1.199:12345连接！
2019-07-03 11:51:58:384   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:391   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:398   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:405   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:412   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:418   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:429   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:435   创建设备：192.168.1.199:12345接收线程！
2019-07-03 11:51:58:442   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:448   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:454   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:460   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:468   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:476   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:482   192.168.1.199:12345接收数据：+NAME:NR TCP-KP-I1O1

2019-07-03 11:51:58:489   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:495   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:500   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:507   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:512   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:518   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:525   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:531   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:538   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:544   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:551   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:557   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:563   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:570   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:581   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:589   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:595   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:601   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:607   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:613   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:620   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:627   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:634   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:640   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:646   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:652   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:656   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:661   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:668   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:673   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:679   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:684   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:690   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:696   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:704   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:711   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:717   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:724   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:730   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:735   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:743   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:749   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:755   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:761   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:767   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:774   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:782   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:789   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:795   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:801   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:807   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:813   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:825   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:832   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:838   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:844   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:850   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:856   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:865   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:871   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:877   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:884   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:890   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:896   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:902   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:908   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:913   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:919   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:926   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:932   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:939   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:946   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:953   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:959   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:965   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:970   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
2019-07-03 11:51:58:978   ReadDICmdThread:远程主机强迫关闭了一个现有的连接。
