2019-09-08 09:37:09:472   系统启动。。。
2019-09-08 09:37:44:455   设备：192.168.1.13:12345连接！
2019-09-08 09:37:44:476   创建设备：192.168.1.13:12345接收线程！
2019-09-08 09:37:44:704   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:706   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:708   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:762   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:764   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:766   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:768   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:770   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:772   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:774   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:776   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:778   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:780   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:782   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:783   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:785   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:786   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:787   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:788   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:789   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:790   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:791   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:792   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:793   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:794   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:795   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:796   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:797   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:798   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:800   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:801   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:802   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:803   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:804   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:805   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:806   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:807   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:808   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:809   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:810   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:811   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:812   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:813   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:814   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:815   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:816   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:817   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:818   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:819   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:820   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:821   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:822   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:824   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:825   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:826   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:827   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:828   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:829   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:830   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:831   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:832   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:833   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:834   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:835   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:836   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:837   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:838   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:839   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:840   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:841   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:842   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:843   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:844   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:845   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:846   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:848   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:849   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:850   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:851   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:852   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:853   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:854   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:855   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:856   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:857   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:858   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:859   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:860   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:861   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:862   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:863   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:864   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
2019-09-08 09:37:44:865   ReceiveCmdThread:远程主机强迫关闭了一个现有的连接。
